timestamp,s_CPU (%),s_MEM (%),s_pods,decision_action,decision_action_by,epsilon,s'_CPU (%),s'_MEM (%),s'_pods,s'_latency (ms),s'_drop_packets (%),is_done,reward
2024-12-17 20:10:06.246352,37.43,98.61,1,1,Policy,0.5,19.46,83.34,2,1004.1666666666666,0.0,True,-0.660991
2024-12-17 20:11:18.998420,8.11,94.12,2,0,Random,0.5,8.11,94.12,2,911.1666666666666,0.0,True,-0.63837
2024-12-17 20:12:34.780848,10.78,96.1,2,-1,Policy,0.5,0.13,90.35,1,782.0,0.0,True,-0.275054
2024-12-17 20:14:38.415967,44.46,136.3,1,1,Policy,0.5,0.15,79.84,2,2061.8333333333335,0.0,True,-0.862751
2024-12-17 20:16:37.829642,21.0,100.01,2,1,Policy,0.5,0.25,88.77,3,3025.5,0.0,True,-1.186063
2024-12-17 20:17:54.797705,25.62,99.59,3,-1,Policy,0.5,4.27,99.2,2,904.0,0.0,True,-0.636581
2024-12-17 20:19:07.274771,4.68,99.99,2,0,Policy,0.5,4.68,99.99,2,1206.3333333333333,0.0,True,-0.706745
2024-12-17 20:20:19.784352,7.15,97.57,2,0,Random,0.5,3.87,94.83,2,1077.3333333333333,0.0,True,-0.678062
2024-12-17 20:21:33.073998,8.71,132.14,2,0,Random,0.5,8.71,132.14,2,1004.6666666666666,0.0,True,-0.66111
2024-12-17 20:22:45.615658,8.06,98.98,2,0,Random,0.5,8.06,98.98,2,833.1666666666666,0.0,True,-0.618532
2024-12-17 20:24:21.123821,8.83,98.34,2,1,Policy,0.5,13.08,85.66,3,951.5,0.0,True,-0.84135
2024-12-17 20:25:34.078905,6.75,101.71,3,0,Policy,0.5,6.75,101.71,3,863.5,0.0,True,-0.819383
2024-12-17 20:27:15.978723,4.18,106.17,3,1,Policy,0.5,18.55,98.41,4,4422.666666666667,0.0,True,-1.464871
2024-12-17 20:28:29.537206,8.26,106.34,4,0,Random,0.5,8.26,106.34,4,1717.6666666666667,0.0,True,-1.135982
2024-12-17 20:29:45.479785,2.5,104.24,4,-1,Policy,0.5,3.29,102.05,3,964.1666666666666,0.0,True,-0.84443
2024-12-17 20:30:58.496365,4.91,101.34,3,0,Policy,0.5,4.91,101.34,3,985.0,0.0,True,-0.849453
2024-12-17 20:32:10.765979,4.79,101.51,3,0,Policy,0.5,4.79,101.51,3,950.6666666666666,0.0,True,-0.841147
2024-12-17 20:33:51.759302,5.0,102.13,3,1,Policy,0.5,24.88,94.74,4,2947.5,0.0,True,-1.31371
2024-12-17 20:35:05.299901,13.53,104.02,4,0,Random,0.5,5.77,104.58,4,1262.3333333333333,0.0,True,-1.048678
2024-12-17 20:36:21.337261,2.1,103.26,4,0,Random,0.5,2.1,103.26,4,1400.6666666666667,0.0,True,-1.076934
2024-12-17 20:37:35.765919,12.86,106.32,4,0,Policy,0.5,0.14,106.32,4,1949.3333333333333,0.0,True,-1.174928
2024-12-17 20:38:49.375415,2.59,104.85,4,0,Policy,0.5,2.59,104.85,4,1375.8333333333333,0.0,True,-1.071983
2024-12-17 20:40:52.427856,6.9,102.72,4,1,Policy,0.5,17.73,91.95,5,2330.5,0.0,True,-1.33903
2024-12-17 20:42:07.583508,1.87,89.2,5,-1,Random,0.5,1.26,87.78,4,2073.8333333333335,0.0,True,-1.194613
2024-12-17 20:43:20.486951,11.18,87.47,4,0,Policy,0.5,1.54,90.37,4,815.0,0.0,True,-0.94379
2024-12-17 20:44:51.711761,12.2,89.72,4,1,Policy,0.5,9.12,88.22,5,1930.0,0.0,True,-1.278033
2024-12-17 20:46:08.571032,3.9,88.89,5,-1,Policy,0.5,1.46,92.08,4,809.6666666666666,0.0,True,-0.942389
2024-12-17 20:47:21.120935,7.12,91.88,4,0,Random,0.5,7.12,91.88,4,2707.3333333333335,0.0,True,-1.283826
2024-12-17 20:48:35.539763,4.99,91.42,4,0,Policy,0.5,4.99,91.42,4,889.1666666666666,0.0,True,-0.962857
2024-12-17 20:49:51.424621,2.41,102.34,4,0,Random,0.5,2.41,102.34,4,5517.333333333333,0.0,True,-1.552413
2024-12-17 20:51:09.038376,29.61,94.57,4,-1,Random,0.5,23.82,91.07,3,1135.8333333333333,0.0,True,-0.884321
2024-12-17 20:52:25.441238,4.28,87.89,3,-1,Policy,0.5,6.35,85.64,2,801.3333333333334,0.0,True,-0.610192
2024-12-17 20:53:41.532789,14.08,81.36,2,-1,Random,0.5,15.11,69.31,1,875.0,0.0,True,-0.299274
2024-12-17 20:54:58.328319,5.72,73.79,1,0,Policy,0.5,5.72,73.79,1,751.0,0.0,True,-0.266699
2024-12-17 20:56:17.352363,10.46,74.55,1,0,Policy,0.5,10.46,74.55,1,823.0,0.0,True,-0.285884
2024-12-17 20:57:50.858954,36.8,75.86,1,1,Random,0.5,23.51,71.1,2,1110.5,0.0,True,-0.685603
2024-12-17 20:59:06.805877,7.38,90.09,2,-1,Random,0.5,7.9,77.96,1,764.6666666666666,0.0,True,-0.270401
2024-12-17 21:00:36.365491,40.15,77.23,1,1,Random,0.5,34.34,72.64,2,1042.3333333333333,0.0,True,-0.669972
2024-12-17 21:02:06.450206,7.48,89.44,2,1,Policy,0.5,10.61,82.44,3,2290.1666666666665,0.0,True,-1.090031
2024-12-17 21:03:19.438233,1.75,94.66,3,0,Random,0.5,2.66,97.85,3,848.1666666666666,0.0,True,-0.815449
2024-12-17 21:04:36.051682,13.07,95.68,3,-1,Random,0.5,16.72,92.75,2,988.5,0.0,True,-0.657255
2024-12-17 21:05:51.883998,6.78,92.86,2,-1,Random,0.5,12.01,79.64,1,763.0,0.0,True,-0.269951
2024-12-17 21:07:06.795707,6.69,75.32,1,0,Policy,0.5,6.69,75.32,1,786.5,0.0,True,-0.276255
2024-12-17 21:09:05.674803,6.07,77.61,1,1,Policy,0.5,0.13,72.4,2,935.3333333333334,0.0,True,-0.644352
2024-12-17 21:10:21.457712,20.36,73.74,2,-1,Random,0.5,7.81,78.23,1,856.1666666666666,0.0,True,-0.294468
2024-12-17 21:12:21.061998,7.14,81.79,1,1,Policy,0.5,0.19,68.24,2,1898.0,0.0,True,-0.836569
2024-12-17 21:13:33.209111,38.06,93.94,2,0,Random,0.5,38.06,93.94,2,2069.8333333333335,0.0,True,-0.863993
2024-12-17 21:14:49.354823,11.4,95.34,2,-1,Random,0.5,0.15,81.29,1,794.0,0.0,True,-0.278249
2024-12-17 21:16:36.409560,8.6,74.9,1,1,Policy,0.5,78.53,75.1,2,2434.6666666666665,0.0,True,-0.917456
2024-12-17 21:17:53.718274,9.98,92.06,2,-1,Random,0.5,10.52,78.79,1,1250.1666666666667,0.0,True,-0.386111
2024-12-17 21:19:52.315773,7.47,75.33,1,1,Policy,0.5,51.2,72.83,2,2351.1666666666665,0.0,True,-0.905739
2024-12-17 21:21:09.004552,19.14,71.87,2,-1,Random,0.5,27.39,79.26,1,828.1666666666666,0.0,True,-0.287231
2024-12-17 21:22:51.758701,5.65,82.65,1,1,Policy,0.5,20.65,72.9,2,1960.5,0.0,True,-0.846727
2024-12-17 21:24:08.427759,9.2,90.16,2,-1,Policy,0.5,0.15,76.06,1,875.5,0.0,True,-0.299401
2024-12-17 21:26:04.316675,6.34,77.23,1,1,Policy,0.5,67.36,96.04,2,3716.6666666666665,0.0,True,-1.068463
2024-12-17 21:27:20.675442,31.64,102.24,2,-1,Policy,0.5,0.14,80.0,1,844.6666666666666,0.0,True,-0.291509
2024-12-17 21:28:44.925310,0.14,80.44,1,0,Policy,0.5,0.14,80.44,1,943.6666666666666,0.0,True,-0.316398
2024-12-17 21:30:06.410703,0.19,57.39,1,0,Policy,0.5,0.19,57.39,1,987.6666666666666,0.0,True,-0.327055
2024-12-17 21:31:23.849030,9.14,80.16,1,0,Policy,0.5,9.14,80.16,1,981.8333333333334,0.0,True,-0.325656
2024-12-17 21:33:06.583827,9.65,77.18,1,1,Policy,0.5,18.25,72.08,2,1642.0,0.0,True,-0.792538
2024-12-17 21:34:22.686831,5.57,87.49,2,-1,Random,0.5,0.19,77.18,1,1042.5,0.0,True,-0.340011
2024-12-17 21:36:21.955711,111.4,109.9,1,1,Policy,0.5,21.29,75.94,2,1670.8333333333333,0.0,True,-0.797706
2024-12-17 21:37:37.065531,13.38,91.01,2,0,Random,0.5,2.28,88.62,2,1623.1666666666667,0.0,True,-0.789132
2024-12-17 21:38:51.582066,3.7,94.48,2,0,Policy,0.5,8.42,91.96,2,4370.833333333333,0.0,True,-1.130298
2024-12-17 21:40:07.574672,53.04,112.12,2,-1,Random,0.5,77.07,84.91,1,840.5,0.0,True,-0.290432
2024-12-17 21:41:25.242593,11.18,76.24,1,0,Policy,0.5,11.18,76.24,1,836.0,0.0,True,-0.289267
2024-12-17 21:43:07.475898,39.51,84.15,1,1,Policy,0.5,75.86,96.71,2,1031.6666666666667,0.0,True,-0.667479
2024-12-17 21:44:23.542726,5.66,72.93,2,-1,Policy,0.5,3.2,80.3,1,798.0,0.0,True,-0.27931
2024-12-17 21:46:21.206883,10.9,82.76,1,1,Policy,0.5,49.16,74.12,2,1655.1666666666667,0.0,True,-0.794905
2024-12-17 21:47:38.025330,11.02,94.04,2,-1,Random,0.5,5.27,75.5,1,950.8333333333334,0.0,True,-0.31815
